GID,idx_crime
라라570886,2469.715
라라570887,1902.424
라라570888,7271.385
라라570889,4588.278
라라571856,2299.402
라라571860,2185.919
라라571879,557.543
라라571880,15057.218
라라571881,12882.928
라라571882,4369.449
라라571883,6495.133
라라571884,306.248
라라571889,2537.086
라라572860,4098.934
라라572861,1413.424
라라572879,766.473
라라572880,9422.574
라라572881,8858.824
라라572882,4331.802
라라572942,1982.444
라라573861,4619.449
라라573908,269.968
라라573909,7110.501
라라574861,3711.466
라라574909,1481.293
라라575861,8741.905
라라575866,3602.626
라라576862,5547.245
라라576865,83.825
라라576868,1094.533
라라577832,3703.413
라라577858,6181.951
라라577859,602.581
라라577862,2869.534
라라577863,563.341
라라577868,4633.442
라라578858,4047.569
라라578859,529.825
라라578862,5002.224
라라578868,7179.064
라라579861,3487.35
라라579865,140.028
라라580861,1919.86
라라580862,1939.221
라라580865,19.422
라라580949,89.609
라라580950,2947.932
라라581915,1456.143
라라581925,217.354
라라581926,902.274
라라582870,1223.567
라라582872,8536.43
라라582910,7056.188
라라582911,786.501
라라582914,2662.094
라라582915,6046.013
라라583870,1410.784
라라583910,4667.674
라라583911,53.453
라라583915,3921.17
라라584881,1515.926
라라584910,271.933
라라584911,1709.721
라라584912,213.142
라라584915,2308.432
라라585862,5541.554
라라585863,701.367
라라585911,4555.52
라라585912,3621.04
라라585959,2625.371
라라586864,1058.246
라라586865,341.379
라라586866,3051.091
라라586867,2000.869
라라586870,4952.735
라라586914,446.022
라라586915,1023.134
라라586916,2330.606
라라587863,935.832
라라587866,1542.218
라라587867,5848.632
라라587868,4551.674
라라587869,6270.503
라라587911,2172.907
라라587912,10670.365
라라587913,2472.374
라라587914,3380.219
라라587915,15562.986
라라587916,1606.505
라라587917,3177.859
라라588862,5099.806
라라588863,4508.369
라라588865,184.628
